0x24F90F1B,ShadowMapTexture2D
0x02AEC425,ShadowMapTexture2D
0x6917F5D8,ShadowMapTexture2D
0xBC2E426C,ShadowMapTexture2D
0x60FEE8DC,Junk04_Diff
0xB17EDDF4,Junk04_Msk3
0xBED24B4E,Junk04_Norm
0x0827767D,Junk05_Diff
0x32A6DF1F,Junk05_Msk3
0x896B9CD6,Junk05_Norm
0x5EDE8635,Junk06_Diff
0x52D71517,Junk06_Msk3
0xD31858A4,Junk06_Norm
0x75302874,Scaffolding01_Diff
0x45F69E98,Scaffolding01_msk3
0x561CB66B,Scaffolding01_Norm
0xE8A28DFE,CubemapFace0
0x37F51EA9,CubemapFace1
0xED39832A,CubemapFace2
0x7BA66AF2,CubemapFace3
0x61EB0C79,CubemapFace4
0xF4B05FB4,CubemapFace5
0xD261B2B1,CubemapFace0
0x760262DF,Bch_OCEANCHOP_HEIGHTMAP
0x0FBE5313,Bch_OCEANCHOP_NORM
0x6278BAD7,Bch_OCEANCHOP_TMISS
0xD38F8843,Bch_WAVERGB_MASKS
0xB866F06C,Cloth_Diff
0x45BEAD43,Cloth_Norm
0xD509D663,Moon
0xF594C999,Mud_Diff
0xB1978978,Mud_Norm
0xBB700A3F,SpaceTrim_Diff
0xD013E943,SpaceTrim_Norm
0x557687DA,Sky_Cloud_Msk01
0x8F0E3AB6,Sky_Cloud_Msk02
0xF17DA1FB,Sky_Decoration01
0xCCE30D6A,Sky_Texture_01
0xAEF3B57F,Sky_Texture_04
0xB9EB5CCB,SKy_Texture_06
0x51E19F2D,Gradient_Side2Side
0x9EA4211C,ME_Flare_06
0xC2734F77,ME_Flare_Rays
0x113ECE64,StretchedFlare_08
0x7B636454,ShadowMapTexture2D
0x64ED11E7,ShadowMapTexture2D
0x23E31CDC,ShadowMapTexture2D
0x5442C26F,Pigeon_FlyAway
0xE151DC47,Pigeon_Idle
0x4AD8728E,Pigeon_pecking
0xFDBE01D2,ShadowMapTexture2D
0x33D096BB,GarbageCan_Diff
0x1CBC350D,GarbageCan_Msk3
0x95F7CE13,GarbageCan_Norm
0xDAF1DFC2,ShadowMapTexture2D
0x0C42833E,BedCot01_Diff
0xB91A8F19,BedCot01_Emis
0x7E62EE22,BedCot01_Norm
0x1C05EFE3,BedCot01_Spec
0x9901B992,Barrel01_B_Diff
0xBB0FC329,CommTower01_Diff
0x27438238,CommTower01_Msk3
0x51AD201C,CommTower01_Norm
0x584058E6,DebrisShip01_Crates_Diff
0x8B1DFEE8,DebrisShip01_Crates_Msk3
0xB4EB1A7B,DebrisShip01_Crates_Norm
0x4CB38917,DebrisShip01_Diff
0x6AC6315E,DebrisShip01_Disc_Diff
0x09D6EF36,DebrisShip01_Disc_Msk3
0x4FEFDA82,DebrisShip01_Disc_Norm
0x75D9D836,DebrisShip01_Girders_Diff
0xB6278CDE,DebrisShip01_Girders_Norm
